cell_id,celltype,x,y
naklciio-1,11q13 Invasive Tumor Cells,6781.142578125,3595.311279296875
akfhkinl-1,11q13 Invasive Tumor Cells (Mitotic),6764.52978515625,5106.86279296875
ojaonnha-1,CXCL14+ Fibroblasts,7710.83544921875,2911.08349609375
epmgeioc-1,Myeloid Cells,4463.2236328125,3496.94580078125
gaioenlc-1,11q13 Invasive Tumor Cells,3175.116455078125,256.2611083984375
abhjnpdm-1,Luminal-like Amorphous DCIS Cells,1246.1903076171875,3801.956298828125
kijbbmmp-1,11q13 Invasive Tumor Cells,8275.1142578125,1473.4307861328125
homknago-1,Pericytes,2227.208740234375,4786.89697265625
gkmhjblo-1,11q13 Invasive Tumor Cells,4641.39013671875,4887.59033203125
jodepmfj-1,11q13 Invasive Tumor Cells,7506.66357421875,643.306396484375
eeahhbkd-1,T Lymphocytes,3609.4619140625,3652.90185546875
jieojhhb-1,11q13 Invasive Tumor Cells,6363.5654296875,1375.494873046875
kikokkbp-1,11q13 Invasive Tumor Cells,8394.9892578125,1543.3033447265625
lagnlnhf-1,11q13 Invasive Tumor Cells (Mitotic),9150.666015625,192.9767608642578
odkboolo-1,11q13 Invasive Tumor Cells,6093.29736328125,2327.448486328125
knkdhlcd-1,Dendritic Cells,8369.6826171875,2132.119384765625
gpkeinpj-1,Basal-like Structured DCIS Cells,5096.47900390625,4800.66943359375
jaijjplg-1,11q13 Invasive Tumor Cells,6913.96337890625,2912.87939453125
gacofmeo-1,"CAFs, DCIS Associated",2944.650390625,334.4111633300781
glfipnkp-1,11q13 Invasive Tumor Cells,4594.31640625,5100.77978515625
afgndkpd-1,Basal-like Structured DCIS Cells,3868.0771484375,4186.1826171875
bpiiechb-1,T Lymphocytes,9428.6552734375,3407.837646484375
cmiikphh-1,Myoepithelial Cells,2174.8369140625,2337.537841796875
obinnbed-1,11q13 Invasive Tumor Cells,5113.244140625,1348.640869140625
hlmaicen-1,"CAFs, DCIS Associated",2711.81201171875,5501.61865234375
npabnjka-1,"CAFs, Invasive Associated",6563.302734375,4046.773193359375
gnmffipd-1,11q13 Invasive Tumor Cells,5592.2890625,5339.22607421875
iojofdga-1,11q13 Invasive Tumor Cells,6035.22705078125,2254.868408203125
bppidbgd-1,B Cells,9245.58984375,3646.52294921875
ckdplcef-1,"CAFs, DCIS Associated",1946.271728515625,1963.1307373046875
efokbecn-1,11q13 Invasive Tumor Cells,3945.26953125,3938.94775390625
