example_gene,point_type,celltype,target_celltype,x,y,center_x,center_y
CCND1,uRNA,,11q13 Invasive Tumor Cells,9639.9375,2441.140625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9224.6875,3112.171875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9226.953125,2899.640625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9812.140625,3064.78125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9112.71875,3020.015625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9091.65625,2928.046875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9091.359375,2967.34375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9772.109375,2888.546875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9395.421875,2478.421875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9483.09375,2312.0,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9038.109375,3055.09375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9290.234375,3091.859375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9518.1875,2376.578125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9117.078125,2999.734375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9099.53125,2858.0625,9430.09375,2704.296875
