gene,marker_group,unassigned_count,assigned_count,unassigned_fraction,urna_best_cluster,urna_best_sss,urna_best_module,full_best_cluster,full_best_sss,best_cluster_match,sss_spearman_vs_full,urna_module_mean_Tumor,urna_module_mean_Vascular/Stromal,urna_module_mean_Immune,urna_module_mean_Rare epithelial
PEA15,,78799,199848,0.2827914888730185,Basal-like Structured DCIS Cells,0.12291247275277854,Immune,Basal-like Structured DCIS Cells,0.1013588383866345,True,0.6490406876192876,0.38468850758243844,0.40376423619866575,0.2656629222460798,0.5817272575510937
VIM,,78410,80316,0.4939959426936985,Endothelial Cells,0.044365777413247244,Vascular/Stromal,Endothelial Cells,0.0419455927035409,True,0.9995241493901396,0.49689503222524833,0.18411199603084163,0.33954465312143994,0.8322983440750829
DHCR24,,77917,339985,0.1864480189135252,CXCL14+ Fibroblasts,0.16566648684384916,Vascular/Stromal,Basal-like Structured DCIS Cells,0.1052764629753437,False,-0.282546184601846,0.48880759832717213,0.25035496047978645,0.34320717242019855,0.829602532775724
PMP22,,77524,264963,0.2263560368714725,Basal-like Structured DCIS Cells,0.10820583141327364,Tumor,Basal-like Structured DCIS Cells,0.1386361509756363,True,1.0,0.2728449718367009,0.48919115662803153,0.34664357450123146,0.7027352771377579
BHLHE40,,77498,274515,0.220156641942201,Macrophages,0.14049298164240334,Vascular/Stromal,Basal-like Structured DCIS Cells,0.0999979632992414,False,0.22606269092359826,0.4860283186584748,0.2426624481462884,0.3381772432180541,0.8286761062194916
SCUBE2,,77086,424070,0.1538163765374454,Basal-like Structured DCIS Cells,0.10522069368819859,Tumor,Basal-like Structured DCIS Cells,0.1230874777340841,True,1.0,0.27777752655003846,0.4890111493205903,0.355003793154681,0.7017402312293995
MAPKAPK2,,76982,262833,0.2265409119668054,Basal-like Structured DCIS Cells,0.10073734936282398,Tumor,Basal-like Structured DCIS Cells,0.1314998060995847,True,1.0,0.267552413244282,0.4914894387821091,0.3495704321636991,0.7002457831209413
CCN2,,76855,136392,0.360403663357515,Endothelial Cells,0.048298481079548546,Vascular/Stromal,Endothelial Cells,0.0426818118540952,True,1.0,0.4936099523069986,0.18997823460110438,0.3386202943685178,0.8312033174356662
IST1,,75423,673434,0.100717493460033,Macrophages,0.11236078864837021,Immune,Macrophages,0.1260001001873206,True,0.9972838338246321,0.3892475553942781,0.337394069557302,0.26751451048185604,0.6262280329496263
DAZAP2,,74256,184662,0.2867935021898825,Macrophages,0.12315259625321837,Vascular/Stromal,Basal-like Structured DCIS Cells,0.1035660010542247,False,0.22606269092359826,0.4866277328617124,0.23755596514260083,0.3353281077050542,0.8288759109539042
TOB1,,74177,315410,0.1903990636237862,Basal-like Structured DCIS Cells,0.11338190504736359,Tumor,Basal-like Structured DCIS Cells,0.1045606391271101,True,1.0,0.2826019579436139,0.4873113471267386,0.3546381368844167,0.7044606350157879
COL6A1,,74150,130631,0.3620941395930286,Macrophages,0.06498078941746514,Immune,Macrophages,0.0692388720887772,True,0.698357948627907,0.3891207393746848,0.33824225281414566,0.26019747794818204,0.6253357482445969
RAB1B,,73996,248792,0.2292402443709183,Basal-like Structured DCIS Cells,0.10692422906824092,Tumor,Basal-like Structured DCIS Cells,0.1053717471563615,True,1.0,0.2805102049547037,0.48753045533281264,0.35278067972067856,0.7023080763560804
SYAP1,,73635,266490,0.2164939360529217,Basal-like Structured DCIS Cells,0.15215750720704332,Immune,Basal-like Structured DCIS Cells,0.1032625921189618,True,0.6490406876192876,0.3902688962974643,0.40114131897327165,0.27638903837570056,0.5908435221295528
JUN,,73530,178911,0.2912759813184071,CXCL14+ Fibroblasts,0.11365306668977623,Vascular/Stromal,CXCL14+ Fibroblasts,0.0543088633003917,True,0.9985704067029311,0.5117536042952125,0.20913446889514858,0.34889470389973526,0.8372512014317376
P4HB,,73496,226812,0.2447354049842162,CXCL14+ Fibroblasts,0.10647035166503072,Vascular/Stromal,Basal-like Structured DCIS Cells,0.1229677034503699,False,0.22606269092359826,0.4933167984456236,0.21224965284026695,0.3406598141295426,0.8311055994818745
GNA13,,73130,281038,0.2064839285310926,Basal-like Structured DCIS Cells,0.10443439948286218,Tumor,Basal-like Structured DCIS Cells,0.1042581970420286,True,1.0,0.27900065596799917,0.48782203798467416,0.3509778345644305,0.7014781331609541
HNRNPA2B1,,72846,303238,0.193696089171568,CXCL14+ Fibroblasts,0.11533187158072185,Vascular/Stromal,Basal-like Structured DCIS Cells,0.1023628283279676,False,0.22606269092359826,0.49168611589775646,0.2180146621185881,0.340397824072093,0.8305620386325855
RAB21,,72679,227434,0.2421721151699526,Macrophages,0.130990264128591,Immune,Basal-like Structured DCIS Cells,0.0966422638726896,False,0.15835612442790561,0.3886580148886943,0.34566375850104064,0.27072140840366576,0.6265036462598849
NHERF2,,72114,256347,0.2195511795920977,Basal-like Structured DCIS Cells,0.09859906787398244,Tumor,Basal-like Structured DCIS Cells,0.1204887712057845,True,1.0,0.2754296455378838,0.48885199479967734,0.3504901662022725,0.6995330226246609
ATP6V1G1,,71519,273703,0.2071681410802324,Basal-like Structured DCIS Cells,0.10458572826608116,Tumor,Basal-like Structured DCIS Cells,0.1320982793211468,True,1.0,0.26679017897593055,0.49251184382317775,0.354119514111448,0.7015285760886938
AP2M1,,70825,208133,0.253891266785681,Macrophages,0.1390143335576839,Vascular/Stromal,Basal-like Structured DCIS Cells,0.1041586900174068,False,-0.2817354334769128,0.4841161339624035,0.24791452054816188,0.33813590663924936,0.8280387113208012
NAP1L1,,69857,207210,0.2521303511425034,Basal-like Structured DCIS Cells,0.10555848600798134,Tumor,Basal-like Structured DCIS Cells,0.1357160305174757,True,1.0,0.2651318610083386,0.49201616928908926,0.34728113764457863,0.7018528286693271
FLNB,,69659,357647,0.1630190074560151,CXCL14+ Fibroblasts,0.1242412967502453,Vascular/Stromal,Basal-like Structured DCIS Cells,0.1075865175781839,False,0.22606269092359826,0.49293737532943727,0.22343610616230417,0.3416423321267018,0.8309791251098124
PARK7,,69549,213447,0.2457596573803163,Basal-like Structured DCIS Cells,0.12711687342805644,Immune,Basal-like Structured DCIS Cells,0.0949220690410758,True,0.6490406876192876,0.38677646040767244,0.4027967824307518,0.27035042507593765,0.5828869190398333
UBE2D3,,69458,253639,0.2149756884155532,Macrophages,0.1396324387664399,Vascular/Stromal,Basal-like Structured DCIS Cells,0.0951791274905837,False,0.22606269092359826,0.4874512847362866,0.23850482381229213,0.33805979968605054,0.8291504282454288
EFNA1,,68737,346238,0.1656413036929935,Basal-like Structured DCIS Cells,0.13430271446808426,Immune,Basal-like Structured DCIS Cells,0.1013186001591315,True,0.6490406876192876,0.387647683401912,0.40357782978753354,0.27559743200828474,0.585229951773369
APPBP2,,68515,271504,0.2015034453956984,Basal-like Structured DCIS Cells,0.14312663220099922,Immune,Basal-like Structured DCIS Cells,0.0973558254924565,True,0.6490406876192876,0.3893366302170122,0.40167279172049264,0.2748778400459807,0.5879269015295784
NECTIN2,,68360,331655,0.1708935914903191,Basal-like Structured DCIS Cells,0.10259755293108341,Tumor,Basal-like Structured DCIS Cells,0.131024840912458,True,1.0,0.2686004567348332,0.49205710196706276,0.35462199077320056,0.7008658509770278
TUBB,,68159,167445,0.2892947488158096,Macrophages,0.1274539586741915,Vascular/Stromal,Basal-like Structured DCIS Cells,0.0968212725909927,False,0.22606269092359826,0.48520575649735875,0.2421530794864805,0.3361008477743631,0.8284019188324528
KIF5B,,68010,220895,0.2354061023519842,Basal-like Structured DCIS Cells,0.10557733183810215,Immune,Basal-like Structured DCIS Cells,0.0923077610100823,True,0.6490406876192876,0.3840730335474588,0.40505435496327163,0.26752269037214316,0.5760478391624905
