,11q13 Invasive Tumor Cells,11q13 Invasive Tumor Cells (G1/S),11q13 Invasive Tumor Cells (Mitotic),Apocrine Cells,B Cells,Basal-like Structured DCIS Cells,"CAFs, DCIS Associated","CAFs, Invasive Associated",CXCL14+ Fibroblasts,Dendritic Cells,Endothelial Cells,Luminal-like Amorphous DCIS Cells,Macrophages,Mast Cells,Myeloid Cells,Myoepithelial Cells,Pericytes,Plasma Cells,T Lymphocytes
CCDC6,0.5048761926566279,0.5048761926566279,0.5048761926566279,1.0,0.5048761926566279,0.5048761926566279,0.3613893655949893,0.5048761926566279,0.11039778647932937,0.5048761926566279,0.11039778647932937,1.0,0.1804382491820637,0.20572923570400772,0.1639314216103673,0.3613893655949893,0.11039778647932937,0.3613893655949893,0.5048761926566279
CCN1,0.5088477782622866,0.5088477782622866,0.5088477782622866,1.0,0.5088477782622866,0.5088477782622866,0.35664253052180744,0.5088477782622866,0.09246018171803688,0.5088477782622866,0.09246018171803688,1.0,0.1785513615364582,0.20051513491377942,0.16851095512036307,0.35664253052180744,0.09246018171803688,0.35664253052180744,0.5088477782622866
CCN2,0.4936099523069986,0.4936099523069986,0.4936099523069986,1.0,0.4936099523069986,0.4936099523069986,0.3700946941656868,0.4936099523069986,0.08070165179729986,0.4936099523069986,0.048298481079548546,1.0,0.1422673248643937,0.2063234409082626,0.17082674372028592,0.3700946941656868,0.08070165179729986,0.3700946941656868,0.4936099523069986
CCND1,0.07255732623496043,0.11849937345543926,0.11849937345543926,1.0,0.2576200543428474,0.2576200543428474,0.5012957572163864,0.11849937345543926,0.5012957572163864,0.2576200543428474,0.5012957572163864,1.0,0.5012957572163864,0.5012957572163864,0.5012957572163864,0.5012957572163864,0.5012957572163864,0.5012957572163864,0.2576200543428474
CCNG2,0.48825210181582984,0.48825210181582984,0.48825210181582984,1.0,0.48825210181582984,0.48825210181582984,0.37691200059658275,0.48825210181582984,0.15799292013413044,0.48825210181582984,0.15799292013413044,1.0,0.15799292013413044,0.21666261381688942,0.17473110972012815,0.37691200059658275,0.15799292013413044,0.37691200059658275,0.48825210181582984
CCNI,0.48628776133728635,0.48628776133728635,0.48628776133728635,1.0,0.48628776133728635,0.48628776133728635,0.37747013190307854,0.48628776133728635,0.15015632956326536,0.48628776133728635,0.15015632956326536,1.0,0.13744051965291082,0.2158951886801359,0.17460201856904198,0.37747013190307854,0.15015632956326536,0.37747013190307854,0.48628776133728635
CCT2,0.38809722157713006,0.38809722157713006,0.38809722157713006,1.0,0.17814080922920475,0.13871295654064414,0.6210836991482676,0.38809722157713006,0.2579942877328044,0.17814080922920475,0.2579942877328044,0.6210836991482676,0.2579942877328044,0.2579942877328044,0.2579942877328044,0.6210836991482676,0.2579942877328044,0.6210836991482676,0.17814080922920475
CCT3,0.38305796793312674,0.38305796793312674,0.38305796793312674,1.0,0.1636115762764505,0.10433279149025253,0.6228803314489222,0.38305796793312674,0.26361615123208704,0.1636115762764505,0.26361615123208704,0.6228803314489222,0.26361615123208704,0.26361615123208704,0.26361615123208704,0.6228803314489222,0.26361615123208704,0.6228803314489222,0.1636115762764505
CD151,0.4959055351860569,0.4959055351860569,0.4959055351860569,1.0,0.4959055351860569,0.4959055351860569,0.3688704850984658,0.4959055351860569,0.09962141547968534,0.4959055351860569,0.09962141547968534,1.0,0.15757566802575682,0.2089928808401231,0.16952800181720132,0.3688704850984658,0.09962141547968534,0.3688704850984658,0.4959055351860569
CD163,0.4868979053686036,0.4868979053686036,0.4868979053686036,1.0,0.4868979053686036,0.4868979053686036,0.38001354271284005,0.4868979053686036,0.15662799424164792,0.4868979053686036,0.15662799424164792,1.0,0.04730775925799594,0.21586691380070885,0.1806966462711226,0.38001354271284005,0.15662799424164792,0.38001354271284005,0.4868979053686036
CD164,0.48988103140109945,0.48988103140109945,0.48988103140109945,1.0,0.48988103140109945,0.48988103140109945,0.3745282669844701,0.48988103140109945,0.13143869198520405,0.48988103140109945,0.13143869198520405,1.0,0.1532881626633538,0.21371663325476306,0.17199516660636618,0.3745282669844701,0.13143869198520405,0.3745282669844701,0.48988103140109945
